record_id,source_record_id,email_riskoutcome,email_riskdatefirstseen,email_riskbasiccheckstatus,email_verifybreachdata,email_verifycreditheadercheck,phone_riskoutcome,phone_riskdatefirstseen,phone_riskscore,phone_verifybreachdata,phone_verifycreditheadercheck,document_riskoutcome,selfie_riskoutcome,device_riskoutcome,device_riskdatefirstseen,consolidated_risk_level,consolidated_risk_score,risk_explanation,confidence_score
1,1,medium,28-01-2013,valid,not found,found,low,03-06-2020,184,found,,not_available,review,,27-02-2021,MEDIUM,60,"The email risk outcome is medium, indicating potential issues. While the phone risk is low, the email's medium risk and the selfie requiring review contribute to an elevated overall risk. The lack of document verification further increases the uncertainty.",75
2,2,medium,15-06-2004,trap,found,not found,medium,14-02-2017,385,not found,not found,review,not_available,high,06-07-2010,HIGH,80,"The device risk is high, and the email is flagged as medium risk with a trap status and breach data found. The document requires review, further increasing the overall risk.",90
3,3,high,05-11-2011,valid,found,not found,low,17-07-2020,707,not found,found,review,review,low,05-01-2023,HIGH,80,"The email is high risk and has been seen since 2011 with breached data found. The document and selfie require review, indicating potential issues. While the phone is low risk, the email risk significantly elevates the overall risk.",90
4,4,medium,22-08-2010,corrected,not found,not found,low,,975,not found,not found,not_available,not_available,high,06-01-2016,HIGH,75,"The device signal indicates high risk, and the email signal indicates medium risk, with the email first seen in 2010. While the phone signal is low risk, the presence of high and medium risk signals across multiple data types elevates the overall risk.",85
5,5,low,31-08-2003,valid,not found,not found,medium,,40,found,not found,review,,medium,12-04-2018,MEDIUM,60,"The phone number has a medium risk outcome with a risk score of 40 and breach data found. The device also has a medium risk outcome, while the document requires review, increasing the overall risk.",85
6,6,medium,06-01-2005,unknown,not found,not found,low,28-09-2016,344,found,,not_available,fail,medium,09-03-2010,MEDIUM,65,"The selfie check failed, indicating a potential mismatch or issue with the user's identity. Additionally, both the email and device are flagged as medium risk, suggesting suspicious activity associated with these data points. While the phone is low risk, the combination of other factors elevates the overall risk.",85
7,7,high,21-05-2002,trap,found,found,medium,05-02-2014,39,not found,found,,clear,medium,16-05-2021,HIGH,82,"The email is flagged as high risk due to a trap status, breach data found, and credit header check findings, indicating potential compromise. The device also shows medium risk activity, and the phone has a medium risk score with a credit header check finding, contributing to the overall high-risk assessment.",90
8,7,high,21-05-2002,trap,found,found,medium,05-02-2014,39,not found,found,,clear,medium,16-05-2021,HIGH,82,"The email is flagged as high risk due to a trap status, breach data, and credit header check findings, indicating potential compromise. The device also shows medium risk activity, and the phone has a moderate risk score, contributing to an elevated overall risk profile.",88
9,9,medium,28-06-2001,safetosend,not found,not found,high,06-01-2007,928,not found,found,not_available,fail,,,HIGH,85,"The phone number presents a high risk, indicated by a risk score of 928 and a successful credit header check, suggesting potential fraudulent activity. The selfie verification failed, further increasing the overall risk. The email also shows medium risk.",95
10,10,low,19-01-2011,invalid,not found,not found,high,15-03-2022,,found,not found,not_available,fail,,09-06-2023,HIGH,80,"The phone number shows high-risk activity and was found in breach data. The email is invalid and the selfie verification failed, contributing to the overall high risk. The device was recently seen, which also increases the risk.",90
11,11,high,09-11-2003,unknown,found,found,low,16-04-2022,142,found,found,not_available,not_available,high,24-08-2016,HIGH,80,"The overall risk is high due to high-risk signals from both the email and device data. The email has been seen since 2003 and has breach data, while the device was first seen in 2016, indicating potential risk across multiple vectors.",90
12,12,medium,05-02-2011,corrected,not found,not found,,08-09-2022,539,,found,not_available,clear,medium,13-06-2019,MEDIUM,65,"The phone number has a moderate risk score and the email and device have medium risk outcomes. While the selfie is clear, the phone's credit header check was found, which contributes to the overall risk.",80
13,13,low,,valid,found,,medium,04-06-2012,634,not found,not found,review,not_available,low,29-07-2020,MEDIUM,60,"The phone data indicates medium risk due to a risk score of 634 and a relatively early date first seen. The email also shows breach data was found. While the device is low risk, the document requires review, increasing the overall risk.",85
14,14,medium,05-11-2008,unknown,not found,,medium,02-08-2014,367,found,found,clear,clear,low,10-08-2010,MEDIUM,65,"The phone data indicates medium risk due to breached data and credit header check findings. While the email and device have been seen for a long time, the phone's risk signals elevate the overall risk level. Document and selfie verification are clear, which mitigates the risk somewhat.",85
15,15,high,13-03-2005,invalid,found,found,high,04-06-2016,120,,found,review,clear,medium,30-11-2024,HIGH,85,"The email and phone both present high risk, indicated by their risk outcomes and credit header checks. The email's invalid basic check status and breach data further elevate the risk. The device also shows medium risk, contributing to the overall high consolidated risk.",95
16,7,high,21-05-2002,trap,found,found,medium,05-02-2014,39,not found,found,,clear,medium,16-05-2021,HIGH,82,"The email is flagged as high risk due to a trap status, breach data, and credit header check findings, indicating potential compromise. The device also shows medium risk activity, and the phone has a moderate risk score, contributing to an elevated overall risk profile.",88
17,17,medium,12-02-2016,,not found,found,medium,28-11-2017,853,not found,found,clear,not_available,low,23-05-2020,MEDIUM,65,"Both the email and phone are flagged as medium risk, with the phone having a high risk score of 853. While the document is clear and the device is low risk, the elevated risk associated with the email and phone contribute to an overall medium risk profile.",85
18,18,medium,,unknown,not found,found,high,05-04-2012,808,not found,found,,clear,suspicious,26-11-2015,HIGH,85,"The phone number is considered high risk, with a high risk score and a first seen date over a decade ago. Additionally, the device is flagged as suspicious, contributing to the overall high-risk assessment. The email also presents a medium risk.",90
19,19,medium,01-07-2017,invalid,found,,high,26-12-2010,5,found,found,fail,clear,high,29-01-2009,HIGH,85,"The phone and device both present high risk, with the device having a very early first seen date. The email is also flagged as medium risk and invalid. These factors combined indicate a high likelihood of fraudulent activity.",90
20,20,low,07-12-2001,invalid,not found,not found,medium,10-05-2010,869,not found,not found,,clear,medium,30-03-2023,MEDIUM,65,"The phone and device both indicate medium risk. The phone has a high risk score of 869, and the email basic check status is invalid, which contributes to the overall risk. The document risk outcome is empty, indicating a lack of verification, which further increases the risk.",85
21,21,low,15-05-2009,corrected,not found,,medium,,555,found,not found,fail,review,,,HIGH,75,"The phone number presents a medium risk with a score of 555 and breach data found. The document verification failed, and the selfie requires review, indicating potential identity issues. While the email risk is low, the combination of other factors elevates the overall risk.",85
22,22,high,17-09-2015,,not found,not found,low,31-07-2021,123,not found,found,not_available,fail,low,07-12-2012,HIGH,75,"The email risk outcome is high, indicating significant potential issues. The selfie verification failed, further increasing the risk. While the phone and device show low risk, the high email risk and failed selfie are the dominant factors.",85
23,23,low,,invalid,not found,not found,,27-03-2023,120,not found,not found,not_available,clear,suspicious,,MEDIUM,60,"The device shows suspicious activity, which elevates the risk. Additionally, the email is invalid and the phone risk score is elevated. While the selfie is clear, the combination of these factors indicates a medium risk.",85
24,24,high,08-01-2011,invalid,found,not found,low,18-10-2014,404,found,not found,review,review,suspicious,12-07-2011,HIGH,85,"The email is high risk and has an invalid basic check status, indicating potential spoofing or manipulation. The device is flagged as suspicious and was first seen in 2011, suggesting a potentially compromised or outdated device. These factors, combined with the need to review the document and selfie, elevate the overall risk.",90
25,25,high,15-10-2007,safetosend,found,not found,low,02-06-2010,29,not found,found,not_available,not_available,medium,25-08-2015,HIGH,75,"The email is flagged as high risk and has been seen since 2007, indicating a potentially compromised account. The device also shows medium risk, contributing to an elevated overall risk profile. While the phone is low risk, the high email risk outweighs it.",85
26,26,medium,29-10-2003,,not found,not found,high,11-05-2014,,,,fail,fail,suspicious,10-04-2023,HIGH,85,"The phone verification resulted in a high-risk outcome, significantly increasing the overall risk. Additionally, the document and selfie verifications both failed, and the device is flagged as suspicious, further contributing to the high-risk assessment.",95
27,18,medium,,unknown,not found,found,high,05-04-2012,808,not found,found,,clear,suspicious,26-11-2015,HIGH,85,"The phone number is considered high risk, with a high risk score and a first seen date over a decade ago. Additionally, the device is flagged as suspicious, contributing to the overall high-risk assessment. The email also presents a medium risk.",90
28,28,medium,22-05-2008,safetosend,found,not found,medium,04-01-2021,646,found,,fail,clear,low,21-02-2008,MEDIUM,65,"The email and phone both present medium risk signals due to breached data being found. While the document verification failed, the selfie was clear and the device risk is low, mitigating some of the overall risk.",85
29,29,medium,06-07-2024,trap,not found,found,low,15-06-2009,807,,not found,review,fail,medium,02-07-2016,HIGH,75,"The email is flagged as medium risk with a 'trap' basic check status and a credit header check found. Additionally, the selfie verification failed, and the document requires review, contributing to the high overall risk.",85
30,30,,08-04-2003,unknown,not found,not found,low,28-09-2011,135,not found,found,review,not_available,low,12-10-2019,MEDIUM,55,"The document requires review, indicating a potential issue. While the phone and device show low risk, the lack of information on the email and the need to review the document elevate the overall risk.",75
